Station Number,Station Name,Open Retail Status,Address,City,State,Zip Code,COUNTY,Number of Stations,Latitude,Longitude,Fueling Positions
67,San Jose - Snell,Planned,3939 Snell Avenue, San Jose,CA,95136,Santa Clara,1,37.2770545,-121.8449948,4
68,Costa Mesa - Bristol,Planned,2995 Bristol Street, Costa Mesa,CA,92626,Orange,1,33.679754,-117.8883285,4
69,San Diego - Washington,Planned,1832 West Washington Street, San Diego,CA,92103,San Diego,1,32.7431354,-117.1841057,4
70,Torrance - Hawthorne,Planned,24505 Hawthorne Boulevard, Torrance,CA,90505,Los Angeles,1,33.7990865,-118.3536112,4
71,Ontario - Euclid,Planned,2160 South Euclid Avenue, Ontario,CA,91762,San Bernardino,1,34.0341806,-117.6536258,4
72,Burbank - Hollywood,Planned,800 North Hollywood Way, Burbank,CA,91505,Los Angeles,1,34.1647543,-118.3474019,4
73,San Diego - 1st Ave,Planned,1666 1st Avenue, San Diego,CA,92101,San Diego,1,32.7227689,-117.1662777,4
74,San Jose - SantaClara,Planned,510 East Santa Clara Street, San Jose,CA,95112,Santa Clara,1,37.3411023,-121.8818346,4
75,San Bernardino - Waterman,Planned,1930 South Waterman Avenue, San Bernardino,CA,92408,San Bernardino,1,34.0661236,-117.2813277,4
76,El Cerrito - Carlson,Planned,3160 Carlson Boulevard, El Cerrito,CA,94530,Contra Costa,1,37.9022362,-122.3065235,4
77,San Diego - RanchoCarmel,Planned,11030 Rancho Carmel Drive, San Diego,CA,92128,San Diego,1,32.9770493,-117.0853434,4
78,Buena Park - Beach,Planned,6392 Beach Boulevard, Buena Park,CA,90621,Orange ,1,33.8679663,-117.999982,4
79,Glendale - Foothill,Planned,3402 Foothill Boulevard, Glendale,CA,91214,Los Angeles,1,34.2322259,-118.2556504,4
80,Los Gatos - SantaCruz,Planned,666 North Santa Cruz Avenue, Los Gatos,CA,95030,Santa Clara,1,37.2354737,-121.9793399,4
81,Fremont - WarmSprings,Planned,47700 Warm Springs Boulevard, Fremont,CA,94539,Alameda,1,37.4774314,-121.9240106,4
82,Los Altos - SanAntonio,Planned,988 North San Antonio Rd, Los Altos,CA,94022,Santa Clara,1,37.3998976,-122.1168134,4
83,Newport Beach - Jamboree Rd,Planned,1600 Jamboree Boulevard, Newport Beach,CA,92660,Orange,1,33.6253293,-117.8806054,4
84,Los Angeles - Washington Blvd,Planned,5164 West Washington Boulevard, Los Angeles,CA,90016,Los Angeles,1,34.0410607,-118.3555288,2
85,Long Beach - Lakewood Blvd,Planned,2589 North Lakewood Boulevard, Long Beach,CA,90815,Los Angeles,1,33.8030142,-118.1452786,2
86,City Of Industry - Pellissier Pl,Planned,2600 Pellissier Place, City of Industry,CA,90601,Los Angeles,1,34.0267833,-118.0373908,2
87,Artesia - Pioneer Blvd,Planned,17325 Pioneer Boulevard, Artesia,CA,90701,Los Angeles,1,33.8734962,-118.0849877,2
88,Monrovia - West Huntington Dr,Planned,705 West Huntington Drive, Monrovia,CA,91016,Los Angeles,1,34.1407007,-118.0167098,2
89,Carlsbad - Avenida Encinas,Planned,7170 Avenida Encinas, Carlsbad,CA,92011,San Diego,1,33.0999611,-117.3134205,2
90,Fontana,Planned,16880 Slover Avenue, Fontana,CA,92337,San Bernardino,1,34.0635077,-117.4382115,4
